TC in	Duur	Bestandsnaam	Omschrijving	Link	Bron	rechten / contact	to do	Prijs NL	Prijs sales	Bron in beeld	Aftiteling
00:00:10:20	00:00:02:03	053912718-roller-coaster-ride_H264HD1080.mov		https://www.pond5.com/stock-footage/item/53912718-roller-coaster-ride	Pond5			119			
00:00:16:05	00:00:00:17	236219682-young-funny-mixed-race-woman-e_H264HD1080.mov		https://www.pond5.com/stock-footage/item/236219682-young-funny-mixed-race-woman-eating-plant-based-vegan-burger	Pond5			119			
00:00:16:22	00:00:00:22	096255524-iris-pupil-contracting-slow-mo.mov		https://www.pond5.com/stock-footage/item/96255524-iris-pupil-contracting-slow-motion	Pond5			35			
00:00:17:19	00:00:00:17	069453765-1958-two-children-running-arou_H264HD1080.mov		https://www.pond5.com/stock-footage/item/69453765-1958-two-children-running-around-backyard-chasing-each-other	Pond5			119			
00:00:18:11	00:00:00:21	169864371-womans-hand-clutches-half-grap.mov		https://www.pond5.com/stock-footage/item/169864371-womans-hand-clutches-half-grapefruit-her-fist	Pond5			35			
00:00:24:13	00:00:01:09	102197321-aerial-view-chasing-speed-boat_H264HD1080.mov		https://www.pond5.com/stock-footage/item/102197321-aerial-view-chasing-speed-boat_H264HD1080.mov	Pond5			35			
00:00:34:13	00:00:01:15	141879873-excited-young-boy-gets-new-win.mov		https://www.pond5.com/stock-footage/item/141879873-excited-young-boy-gets-new-win.mov	Pond5			35			
00:00:38:13	00:00:01:11	153633511-european-roe-deer-capreolus-ca_H264HD1080.mov		https://www.pond5.com/stock-footage/item/153633511-european-roe-deer-capreolus-ca_H264HD1080.mov	Pond5			119			
00:00:39:24	00:00:01:09	099907100-close-unshaven-man-biting-and-_H264HD1080.mov		https://www.pond5.com/stock-footage/item/099907100-close-unshaven-man-biting-and-_H264HD1080.mov	Pond5			119			
00:00:41:08	00:00:01:13	094999292-live-music-festival-crowd-and-_H264HD1080.mov		https://www.pond5.com/stock-footage/item/094999292-live-music-festival-crowd-and-_H264HD1080.mov	Pond5			119			
00:00:42:21	00:00:02:22	222992593-soccer-blue-team-score-goal_H264HD1080.mov		https://www.pond5.com/stock-footage/item/222992593-soccer-blue-team-score-goal_H264HD1080.mov	Pond5			119			
00:00:45:18	00:00:01:04	169370272-girl-playstation-4-controller-_H264HD1080.mov		https://www.pond5.com/stock-footage/item/169370272-girl-playstation-4-controller-_H264HD1080.mov	Pond5			35			
00:00:46:22	00:00:01:01	285782277-biting-delicious-piece-chocola.mov		https://www.pond5.com/stock-footage/item/285782277-biting-delicious-piece-chocola.mov	Pond5			35			
00:01:20:00	00:00:02:19	108960711-beautiful-kiss-two-lovers-back.mov		https://www.pond5.com/stock-footage/item/108960711-beautiful-kiss-two-lovers-back.mov	Pond5			35			
00:03:25:13	00:00:11:09	What Learning Looks Like in the Brain.mp4		https://www.youtube.com/watch?v=A1Xa_FCsDNk	USC						
00:05:30:14	00:00:33:00	084340536-1970s-science-experiment-labor.mov		https://www.pond5.com/stock-footage/item/84340536-1970s-science-experiment-laboratory-rat-study-vintage-film-e	Pond5			35			
00:07:02:00	00:00:24:12	141598845-little-white-mouse-learns-navi.mp4		https://www.pond5.com/stock-footage/item/141598845-little-white-mouse-learns-navigate-maze-order-reach-food				104			
00:09:27:00	00:00:18:22	China SORTING CENTRE in Shenzen after massive 11.11 sale..mp4		https://www.youtube.com/shorts/zjdpz05u2DY							
00:09:37:00	00:00:06:00	Declutter System That Works   I Let Go of 123 Makeup Products (1).mp4		https://www.youtube.com/watch?v=oJvZh1SNOq8						Alexa Likes/YouTube	
00:09:47:00	00:00:22:18	TL_Lembke_streamer_Crispy-Concords_Ik ging 24 UUR op Omegle.mp4		https://www.youtube.com/watch?v=NCnvGHqZjDw						Crispy Concords/YouTube	
