ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
1,AX,VPRO Aernout Mik PRE IDENT.mxf,VPRO Aernout Mik PRE IDENT.mxf,V1,00:00:00:00,00:00:03:00,00:00:03:00,00:00:00:00,00:00:03:00,,
1,AX,"Putin Warns of Arctic War, Claims US Serious About Greenland Annexation  Trump  US-Russia - Republic World (1080p, h264).mp4","Putin Warns of Arctic War, Claims US Serious About Greenland Annexation  Trump  US-Russia - Republic World (1080p, h264).mp4",V1,00:01:57:18,00:02:00:03,00:00:02:10,00:01:51:06,00:01:53:18,,
1,AX,ROB-H2937.MXF,ROB-H2937.MXF,V1,00:03:14:17,00:03:18:18,00:00:04:01,10:52:34:07,10:52:38:08,,
2,AX,A004C002_2602040I.MXF,A004C002_2602040I.MXF,V1,00:00:03:00,00:00:05:15,00:00:02:15,15:08:49:09,15:08:51:24,,
2,AX,ROB-H2787.mxf,ROB-H2787.mxf,V1,00:03:11:13,00:03:13:16,00:00:02:03,08:06:56:00,08:06:58:03,,
2,AX,ROB-H2819.mxf,ROB-H2819.mxf,V1,00:03:22:11,00:03:24:05,00:00:01:19,08:07:24:17,08:07:26:11,,
3,AX,WI_Groenland_USA_Pituffik-basis_2024_DOD_110461448-1920x1080-9000k.mp4,WI_Groenland_USA_Pituffik-basis_2024_DOD_110461448-1920x1080-9000k.mp4,V1,00:00:05:15,00:00:07:23,00:00:02:08,00:02:22:18,00:02:24:28,,
3,AX,ROB-H2951.MXF,ROB-H2951.MXF,V1,00:03:13:16,00:03:15:16,00:00:02:00,11:11:23:11,11:11:25:11,,
3,AX,WI_IJsland_USA-defence_DOD_108918994.mp4,WI_IJsland_USA-defence_DOD_108918994.mp4,V1,00:05:28:02,00:05:33:06,00:00:05:04,00:00:27:29,00:00:32:38,,
4,AX,ANP-548150180.jpg,ANP-548150180.jpg,V1,00:00:07:23,00:00:08:08,00:00:00:10,00:59:59:28,01:00:00:10,,
4,AX,ROB-H2969.MXF,ROB-H2969.MXF,V1,00:03:15:16,00:03:18:18,00:00:03:02,11:27:27:13,11:27:30:15,,
4,AX,VG_LGW25_CAM3_0086.MXF,VG_LGW25_CAM3_0086.MXF,V1,00:12:54:00,00:13:00:16,00:00:06:16,11:21:20:04,11:21:26:20,,
5,AX,ANP-548150180.jpg,ANP-548150180.jpg,V1,00:00:08:08,00:00:08:16,00:00:00:08,01:00:00:10,01:00:00:20,,
5,AX,ROB_1_20251103_8404.mp4,ROB_1_20251103_8404.mp4,V1,00:03:22:00,00:03:24:01,00:00:02:01,03:10:17:19,03:10:19:20,,
5,AX,ANP-548099546.jpg,ANP-548099546.jpg,V1,00:36:28:15,00:36:29:15,00:00:01:00,00:59:59:28,01:00:00:28,,
6,AX,ANP-548150177.jpg,ANP-548150177.jpg,V1,00:00:08:16,00:00:09:07,00:00:00:16,00:59:59:28,01:00:00:18,,
6,AX,WI_Groenland_USA-defence_DOD_108721099-1920x1080-9000k.mp4,WI_Groenland_USA-defence_DOD_108721099-1920x1080-9000k.mp4,V1,00:05:24:12,00:05:26:04,00:00:01:17,00:00:08:09,00:00:10:01,,
7,AX,ANP-548212068.jpg,ANP-548212068.jpg,V1,00:00:09:07,00:00:09:20,00:00:00:13,00:59:59:28,01:00:00:14,,
7,AX,WI_Groenland_USA-defence_DOD_108721099-1920x1080-9000k.mp4,WI_Groenland_USA-defence_DOD_108721099-1920x1080-9000k.mp4,V1,00:05:26:04,00:05:30:05,00:00:04:01,00:00:11:13,00:00:15:14,,
8,AX,ANP-548217835.jpg,ANP-548217835.jpg,V1,00:00:09:20,00:00:10:05,00:00:00:10,00:59:59:28,01:00:00:10,,
8,AX,WI_IJsland_USA-defence_DOD_108918994.mp4,WI_IJsland_USA-defence_DOD_108918994.mp4,V1,00:05:30:05,00:05:32:07,00:00:02:02,00:02:38:16,00:02:40:21,,
9,AX,ANP-548212061.jpg,ANP-548212061.jpg,V1,00:00:10:05,00:00:10:12,00:00:00:07,00:59:59:28,01:00:00:07,,
9,AX,WI_IJsland_USA-defence_DOD_108918994.mp4,WI_IJsland_USA-defence_DOD_108918994.mp4,V1,00:05:32:07,00:05:33:06,00:00:00:24,00:02:40:21,00:02:41:19,,
10,AX,ANP-548212061.jpg,ANP-548212061.jpg,V1,00:00:10:12,00:00:10:20,00:00:00:08,01:00:00:07,01:00:00:16,,
10,AX,WI_Groenland_Deense-soldaten_2026-01-23T141238Z_1_LWD919522012026RP1_RTRWNEV_C_9195-USA-TRUMP-GREENLAND-DENMARK-MILITARY.MP4,WI_Groenland_Deense-soldaten_2026-01-23T141238Z_1_LWD919522012026RP1_RTRWNEV_C_9195-USA-TRUMP-GREENLAND-DENMARK-MILITARY.MP4,V1,00:05:33:06,00:05:36:09,00:00:03:03,00:00:36:13,00:00:39:16,,
11,AX,ANP-548150068.jpg,ANP-548150068.jpg,V1,00:00:10:20,00:00:11:02,00:00:00:07,00:59:59:28,01:00:00:07,,
11,AX,WI_Groenland_USA_defence_DOD_110831914-1920x1080-9000k.mp4,WI_Groenland_USA_defence_DOD_110831914-1920x1080-9000k.mp4,V1,00:05:36:09,00:05:38:22,00:00:02:13,00:04:53:00,00:04:55:13,,
12,AX,ANP-548150068.jpg,ANP-548150068.jpg,V1,00:00:11:02,00:00:12:04,00:00:01:02,01:00:00:07,01:00:01:09,,
12,AX,KAART ZEEROUTES 02.mp4,KAART ZEEROUTES 02.mp4,V1,00:07:50:19,00:07:57:12,00:00:06:18,00:00:00:00,00:00:06:18,,
13,AX,ANP-522359575.jpg,ANP-522359575.jpg,V1,00:00:12:04,00:00:12:10,00:00:00:06,01:00:00:00,01:00:00:07,,
13,AX,WI_Protest-Groenland_Kopenhagen_AP_4631063_Denmark_Greenland_Protest_Reaction_1080i50ESSENCE.mp4,WI_Protest-Groenland_Kopenhagen_AP_4631063_Denmark_Greenland_Protest_Reaction_1080i50ESSENCE.mp4,V1,00:10:43:17,00:10:45:18,00:00:02:01,00:00:36:04,00:00:38:05,,
14,AX,ANP-522359573.jpg,ANP-522359573.jpg,V1,00:00:12:10,00:00:12:14,00:00:00:04,00:59:59:28,01:00:00:03,,
14,AX,20250105_TL_Error404_HetInternetInCrisis_Mensen op telefoon beelden.Sub.07.mxf,20250105_TL_Error404_HetInternetInCrisis_Mensen op telefoon beelden.Sub.07.mxf,V1,00:12:37:11,00:12:39:08,00:00:01:22,00:13:02:00,00:13:03:22,,
15,AX,ANP-522359573.jpg,ANP-522359573.jpg,V1,00:00:12:14,00:00:13:04,00:00:00:15,01:00:00:03,01:00:00:21,,
15,AX,WI_IJsland_USA-trainig_DOD_108918891.mp4,WI_IJsland_USA-trainig_DOD_108918891.mp4,V1,00:12:54:00,00:12:57:13,00:00:03:13,00:02:26:24,00:02:29:55,,
16,AX,A004C002_2602040I.MXF,A004C002_2602040I.MXF,V1,00:00:13:04,00:00:19:09,00:00:06:05,15:07:01:21,15:07:08:01,,
16,AX,WI_IJsland_USA-trainig_DOD_108918891.mp4,WI_IJsland_USA-trainig_DOD_108918891.mp4,V1,00:12:57:13,00:13:00:16,00:00:03:03,00:02:21:34,00:02:24:41,,
17,AX,"'We need Greenland' Trump says in his speech to Congress - Associated Press (1080p, h264).mp4","'We need Greenland' Trump says in his speech to Congress - Associated Press (1080p, h264).mp4",V1,00:00:19:09,00:00:20:09,00:00:01:00,00:00:00:00,00:00:00:12,,
17,AX,New York Stock Exchange.mov,New York Stock Exchange.mov,V1,00:21:14:15,00:21:26:02,00:00:11:12,00:00:10:10,00:00:21:21,,
18,AX,"'We need Greenland' Trump says in his speech to Congress - Associated Press (1080p, h264).mp4","'We need Greenland' Trump says in his speech to Congress - Associated Press (1080p, h264).mp4",V1,00:00:20:09,00:00:21:13,00:00:01:04,00:00:14:07,00:00:15:11,,
18,AX,WI_Beurs_AP_efe009363_US_MARKETS_1080i50-xdcam-50m.mxf,WI_Beurs_AP_efe009363_US_MARKETS_1080i50-xdcam-50m.mxf,V1,00:21:28:19,00:21:30:11,00:00:01:17,00:01:25:09,00:01:27:01,,
19,AX,"'We need Greenland' Trump says in his speech to Congress - Associated Press (1080p, h264).mp4","'We need Greenland' Trump says in his speech to Congress - Associated Press (1080p, h264).mp4",V1,00:00:21:13,00:00:23:16,00:00:02:03,00:00:26:23,00:00:29:01,,
19,AX,WI_Beurs_AP_cctv038687_Various_Stock_Market_Plunges.mxf,WI_Beurs_AP_cctv038687_Various_Stock_Market_Plunges.mxf,V1,00:21:30:11,00:21:32:14,00:00:02:03,00:00:05:01,00:00:07:04,,
20,AX,"'We need Greenland' Trump says in his speech to Congress - Associated Press (1080p, h264).mp4","'We need Greenland' Trump says in his speech to Congress - Associated Press (1080p, h264).mp4",V1,00:00:23:16,00:00:27:05,00:00:03:14,00:00:29:01,00:00:32:15,,
20,AX,ANP-550173087.jpg,ANP-550173087.jpg,V1,00:21:35:07,00:21:35:14,00:00:00:07,00:59:59:28,01:00:00:07,,
21,AX,ANP-530479272.jpg,ANP-530479272.jpg,V1,00:00:27:05,00:00:27:16,00:00:00:11,00:59:59:28,01:00:00:12,,
