ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
"1","UNNAMED","599_4663.MXF.SYNC.01","","V1","00:00:00:00","00:00:05:03","00:00:05:03","17:33:51:20","17:33:56:23","","IMAGE, FRAMEFLEX"
"2","UNNAMED","599_4663.MXF.SYNC.01","","V1","00:00:05:03","00:00:09:01","00:00:03:23","17:33:58:10","17:34:02:08","","IMAGE, FRAMEFLEX"
"3","UNNAMED","599_4663.MXF.SYNC.01","","V1","00:00:09:01","00:00:10:03","00:00:01:02","17:34:04:04","17:34:05:06","","IMAGE, FRAMEFLEX"
"4","UNNAMED","599_4663.MXF.SYNC.01","","V1","00:00:10:03","00:00:10:24","00:00:00:21","17:34:11:13","17:34:12:09","","IMAGE, FRAMEFLEX"
"5","UNNAMED","599_4663.MXF.SYNC.01","","V1","00:00:10:24","00:00:15:02","00:00:04:03","17:34:15:17","17:34:19:20","","IMAGE, FRAMEFLEX"
"6","UNNAMED","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","V1","00:00:15:02","00:00:16:04","00:00:01:02","22:53:26:23","22:53:28:00","","AVX2 EFFECT, 3DWARP"
"7","UNNAMED","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","V1","00:00:16:04","00:00:18:24","00:00:02:20","22:53:28:11","22:53:31:06","","AVX2 EFFECT, 3DWARP"
"8","UNNAMED","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","V1","00:00:18:24","00:00:19:14","00:00:00:15","22:53:34:11","22:53:35:01","","AVX2 EFFECT, 3DWARP"
"9","UNNAMED","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","V1","00:00:19:14","00:00:20:14","00:00:01:00","22:53:35:01","22:53:36:01","","AVX2 EFFECT, 3DWARP"
"10","UNNAMED","TL_REINIER_DAYTRADERS_25-04-2000ACTNETWERK___-HRE00023D19_74293000_74814960.MXF","TL_REINIER_DAYTRADERS_25-04-2000ACTNETWERK___-HRE00023D19_74293000_74814960.MXF","V1","00:00:20:14","00:00:22:14","00:00:02:00","20:43:18:01","20:43:20:01","","AVX2 EFFECT, 3DWARP"
"11","UNNAMED","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","TL_REINIER_RIJKEN_HETGELUKVAN_VPRO-2WAAROMISTEVEE-HRE00006DB2_82378000_82432920.MXF","V1","00:00:22:14","00:00:23:24","00:00:01:10","22:53:24:03","22:53:25:13","","AVX2 EFFECT, 3DWARP"
"12","UNNAMED","TL_REINIER_RIJKEN_26-07-1997ACTNOVA______-HRE00032047_80306000_80818960.MXF","TL_REINIER_RIJKEN_26-07-1997ACTNOVA______-HRE00032047_80306000_80818960.MXF","V1","00:00:23:24","00:00:25:06","00:00:01:07","22:20:52:15","22:20:53:22","","AVX2 EFFECT, 3DWARP"
