ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
"1","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A11","00:00:02:03","00:00:31:11","00:00:29:08","00:03:03:14","00:03:32:22","*EFF2_IO_CHANNEL_COMBINER",""
"2","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A9","00:00:15:13","00:00:18:00","00:00:02:12","00:00:00:00","00:00:02:12","*EFF2_IO_CHANNEL_COMBINER",""
"3","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A9","00:00:18:02","00:00:21:04","00:00:03:02","00:00:02:12","00:00:05:14","*EFF2_IO_CHANNEL_COMBINER",""
"4","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A9","00:00:21:04","00:00:25:00","00:00:03:21","00:00:05:14","00:00:09:10","*EFF2_IO_CHANNEL_COMBINER",""
"5","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A10","00:00:23:19","00:00:24:14","00:00:00:20","00:00:05:04","00:00:05:24","*BLEND,-IO-DISSOLVE",""
"6","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A10","00:00:24:14","00:00:28:15","00:00:04:01","00:00:05:24","00:00:10:00","*EFF2_IO_CHANNEL_COMBINER",""
"7","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A10","00:00:28:15","00:00:29:10","00:00:00:20","00:00:10:00","00:00:10:20","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_BSM045_001_DOMINION___WYNTER.WAV"
"8","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A10","00:00:29:10","00:00:31:11","00:00:02:01","00:00:10:20","00:00:12:21","*EFF2_IO_CHANNEL_COMBINER",""
"9","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A10","00:00:31:11","00:00:31:17","00:00:00:06","00:00:12:21","00:00:13:02","*EFF2_IO_CHANNEL_COMBINER",""
"10","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A11","00:00:31:11","00:00:42:00","00:00:10:14","00:03:32:22","00:03:43:11","*EFF2_IO_CHANNEL_COMBINER",""
"11","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A10","00:00:31:17","00:00:33:07","00:00:01:15","00:00:13:02","00:00:14:17","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_BSM045_001_DOMINION___WYNTER.WAV"
"12","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A10","00:00:33:07","00:00:45:16","00:00:12:09","00:00:14:17","00:00:27:01","*EFF2_IO_CHANNEL_COMBINER",""
"13","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A9","00:00:46:01","00:00:51:15","00:00:05:14","00:01:13:04","00:01:18:18","*EFF2_IO_CHANNEL_COMBINER",""
"14","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A9","00:00:51:15","00:01:14:22","00:00:23:07","00:01:18:18","00:01:42:00","*EFF2_IO_CHANNEL_COMBINER",""
"15","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A9","00:01:14:22","00:01:39:09","00:00:24:12","00:01:38:10","00:02:02:22","*EFF2_IO_CHANNEL_COMBINER",""
"16","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","A10","00:01:38:15","00:01:39:10","00:00:00:20","00:00:02:03","00:00:02:23","*BLEND,-IO-DISSOLVE",""
"17","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A9","00:01:39:09","00:01:40:04","00:00:00:20","00:02:02:22","00:02:03:17","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_BSM045_001_DOMINION___WYNTER.WAV"
"18","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","A10","00:01:39:10","00:01:43:24","00:00:04:14","00:00:02:23","00:00:07:12","*EFF2_IO_CHANNEL_COMBINER",""
"19","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","BMGPM_BSM045_001_DOMINION___WYNTER.WAV","A9","00:01:40:04","00:01:44:06","00:00:04:02","00:02:03:17","00:02:07:19","*EFF2_IO_CHANNEL_COMBINER",""
